datetime,side,value,cash,turnover,cost,account
2026-04-07,BUY,1299475.2319335938,1724071.4732116698,0.42509696044921874,0.00021254848022460939,3023546.7051452636
2026-04-13,BUY,1769106.4453125,1502582.756854248,0.06780311023089292,3.3901555115446475e-05,3271689.2021667482
2026-04-20,BUY,1867789.6606445312,1671927.6499084472,0.04787466570866388,7.181199856299583e-05,3539717.3105529784
2026-04-27,BUY,2568050.9033203125,953218.5726135253,0.19838444398419272,9.91922219920964e-05,3521269.4759338377
2026-05-06,SELL,856000.0,2727553.072613525,0.5040107323945471,0.0007560160985918207,3583553.072613525
2026-05-11,BUY,1598221.0083007812,2104899.903323364,0.1722243968153214,8.611219840766067e-05,3703120.911624145
2026-05-25,BUY,1967400.0,1999348.1548004148,0.027264486253282098,1.3632243126641001e-05,3966748.154800415
2026-06-08,SELL,577494.9951171875,3469766.2650054926,0.35714507492075215,0.0005357176123811283,4047261.26012268
2026-06-15,BUY,1867500.0,2294178.7650054926,0.2905347776349746,0.0001452673888174873,4161678.7650054926
2026-06-22,BUY,3455824.8901367188,925714.8456939692,0.31472167870946366,0.00015736083935473185,4381539.735830688
2026-06-29,SELL,2318000.0,1667999.745693969,0.18308361200908851,0.00027462541801363284,3985999.745693969
2026-07-01,SELL,1834755.0659179688,2172641.645693969,0.12384220325749061,0.000185763304886236,4007396.7116119377
