datetime,cash,now_account_value,SZ300308.amount,SZ300308.price,SZ300308.weight,SZ300308.count_day
2026-04-01,3000000.0,3000000.0,,,,
2026-04-02,3000000.0,3000000.0,,,,
2026-04-03,3000000.0,3000000.0,,,,
2026-04-07,1481037.4681091309,3028031.7918395996,2500.0,618.7977294921875,0.5108910441097562,1.0
2026-04-08,1481037.4681091309,3199353.9659118652,2500.0,687.3265991210938,0.5370823347809806,2.0
2026-04-09,1481037.4681091309,3211539.6348571777,2500.0,692.2008666992188,0.5388388011674049,3.0
2026-04-10,1481037.4681091309,3315491.5086364746,2500.0,733.7816162109375,0.5532977646749514,4.0
2026-04-13,1111889.6075134277,3323272.6641540527,3000.0,737.127685546875,0.6654232980920746,5.0
2026-04-14,1111889.6075134277,3428148.5186462402,3000.0,772.0863037109375,0.6756588574078151,6.0
2026-04-15,1111889.6075134277,3449063.740814209,3000.0,779.0580444335938,0.6776256714667304,7.0
2026-04-16,1111889.6075134277,3537848.652923584,3000.0,808.6530151367188,0.6857158921723258,8.0
2026-04-17,1111889.6075134277,3661872.0293884277,3000.0,849.994140625,0.6963603319313358,9.0
2026-04-20,1281234.500567627,3658421.3413879396,2800.0,848.9953002929688,0.649784871394406,10.0
2026-04-21,1281234.500567627,3699980.0816223146,2800.0,863.8377075195312,0.6537185410993214,11.0
2026-04-22,1281234.500567627,3760836.160723877,2800.0,885.572021484375,0.659321904541298,12.0
2026-04-23,1281234.500567627,3789865.8238098146,2800.0,895.9397583007812,0.6619314350079949,13.0
2026-04-24,1281234.500567627,3761870.9507629396,2800.0,885.9415893554688,0.6594156159695532,14.0
2026-04-27,472686.78861083975,3639949.5693725585,3700.0,856.0169677734375,0.8701391929745005,15.0
2026-04-28,472686.78861083975,3521578.7014526366,3700.0,824.0248413085938,0.8657741800812634,16.0
2026-04-29,472686.78861083975,3599186.7886108398,3700.0,845.0,0.8686684475208134,17.0
2026-04-30,472686.78861083975,3645436.7886108398,3700.0,857.5,0.8703346633008097,18.0
