datetime,side,value,cash,turnover,cost,account
2026-04-07,BUY,1546994.3237304688,1481037.4681091309,0.5060678100585938,0.0002530339050292969,3028031.7918395996
2026-04-13,BUY,2211383.056640625,1111889.6075134277,0.11128467014472598,5.564233507236299e-05,3323272.6641540527
2026-04-20,BUY,2377186.8408203125,1281234.500567627,0.04631491505739823,6.947237258609733e-05,3658421.3413879396
2026-04-27,BUY,3167262.7807617188,472686.78861083975,0.21482492374514345,0.0001074124618725717,3639949.5693725585
2026-05-06,SELL,1112800.0,2601888.1886108397,0.5849504801899446,0.0008774257202849167,3714688.1886108397
2026-05-11,BUY,2068286.0107421875,1801334.113809204,0.21316474826825038,0.00010658237413412513,3869620.124551391
2026-05-18,BUY,2194500.0,1904182.612234497,0.02505516849896329,3.7582752748444896e-05,4098682.612234497
2026-05-25,BUY,2513900.0,1693079.1151885986,0.05166529589922549,2.5832647949612658e-05,4206979.115188599
2026-06-08,SELL,692993.994140625,3615933.5669952394,0.4369681315343434,0.0006554521973015152,4308927.561135864
2026-06-15,BUY,2365500.0,2087669.8169952394,0.3547924861641015,0.00017739624308205074,4453169.816995239
2026-06-22,BUY,4423455.859375,308666.72189025884,0.37940045431210634,0.000189700227156053,4732122.581265259
2026-06-29,SELL,2928000.0,1298379.9218902588,0.22938525196432852,0.0003440778779464926,4226379.921890259
2026-07-01,SELL,2324023.0834960938,1929182.2968902588,0.1453508463027432,0.0002180262694541148,4253205.380386353
