datetime,account,return,total_turnover,turnover,total_cost,cost,value,cash,bench
2026-04-17,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,0.0
2026-04-20,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,0.006084323
2026-04-21,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,0.0022187233
2026-04-22,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,0.0066337585
2026-04-23,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,-0.00277102
2026-04-24,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,-0.0035431385
2026-04-27,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,0.000330925
2026-04-28,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,-0.00266999
2026-04-29,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,0.0109574795
2026-04-30,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,-0.00063186884
2026-05-06,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,0.014516711
2026-05-07,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,0.0048012733
2026-05-08,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,-0.0058356524
2026-05-11,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,0.016405106
2026-05-12,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,-0.00076538324
2026-05-13,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,0.010164738
2026-05-14,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,-0.016754508
2026-05-15,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,-0.011192024
2026-05-18,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,-0.005364418
2026-05-19,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,0.0040051937
2026-05-20,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,-0.00044983625
2026-05-21,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,-0.013936639
2026-05-22,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,0.0129618645
2026-05-25,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,0.015789509
2026-05-26,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,0.0053340197
2026-05-27,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,-0.008019209
2026-05-28,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,0.0012309551
2026-05-29,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,-0.004495561
2026-06-01,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,-0.009784222
2026-06-02,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,0.014512777
2026-06-03,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,0.004934311
2026-06-04,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,-0.006897092
2026-06-05,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,-0.017906249
2026-06-08,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,-0.021441936
2026-06-09,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,0.018706322
2026-06-10,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,-0.011082768
2026-06-11,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,-0.0055134296
2026-06-12,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,0.011627197
2026-06-15,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,0.023944736
2026-06-16,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,-0.0015290976
2026-06-17,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,0.0096542835
2026-06-18,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,0.0020709038
2026-06-22,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,0.023890972
2026-06-23,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,-0.02772361
2026-06-24,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,0.0048041344
2026-06-25,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,0.015594602
2026-06-26,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,-0.03025502
2026-06-29,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,0.012057781
2026-06-30,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000.0,0.010658145
2026-07-01,3118359.4629089357,0.03992796630859381,2848872.0336914062,0.9496240112304688,1424.436016845703,0.00047481200561523437,2968655.9326171875,149703.53029174823,-0.0041078925
