Symbol,Date,Open,High,Low,Close,Volume,Amount,Source
600276,2025-05-16,2780.44320333,2806.953318,2749.7746393,2799.15622545,38217660,2047406426.07,baostock
600276,2025-05-19,2796.5571946,2824.10692161,2757.57173185,2778.36397865,35019068,1875209002.15,baostock
600276,2025-05-20,2822.02769693,2866.73102755,2796.03738843,2830.34459565,59335691,3233612042.28,baostock
600276,2025-05-21,2821.50789076,2936.9048605,2808.51273651,2907.79571498,61240349,3398156910.18,baostock
600276,2025-05-22,2910.914552,2929.62757412,2867.25083372,2890.1223052,41314629,2298821739.56,baostock
600276,2025-05-23,2916.206293,2921.42312,2832.737061,2843.170715,54184027,2981192923.93,baostock
600276,2025-05-26,2827.520234,2849.9525901,2768.0484062,2783.1772045,53228437,2850955759.03,baostock
600276,2025-05-27,2776.3953294,2821.7817243,2771.7001851,2786.8289834,36032348,1930051269.21,baostock
600276,2025-05-28,2795.6975893,2865.6030711,2782.1338391,2830.1286475,35804983,1943962412.05,baostock
600276,2025-05-29,2824.9118205,2847.8658593,2809.7830222,2822.303407,35485276,1924548693.83,baostock
600276,2025-05-30,2832.2153783,2903.6859082,2830.1286475,2855.6910998,47142160,2590435177.19,baostock
600276,2025-06-03,2855.6910998,2909.9461006,2830.1286475,2862.9946576,43445035,2397345666.33,baostock
600276,2025-06-04,2860.9079268,2913.0761968,2848.9092247,2884.3836483,36859302,2038925051.05,baostock
600276,2025-06-05,2874.471677,2874.471677,2793.6108585,2810.8263876,49527267,2675359810.93,baostock
600276,2025-06-06,2811.869753,2826.4768686,2784.7422526,2806.652926,34453388,1849932993.38,baostock
600276,2025-06-09,2817.08658,2910.4677833,2805.6095606,2835.8671572,65690582,3607525589.35,baostock
600276,2025-06-10,2836.9105226,2910.989466,2836.9105226,2876.0367251,48073517,2654117466.19,baostock
600276,2025-06-11,2869.25485,2911.5111487,2845.7791285,2854.1260517,37773566,2080608920.76,baostock
600276,2025-06-12,2837.953888,2931.856774,2817.08658,2912.0328314,49318822,2730556453.19,baostock
600276,2025-06-13,2905.2509563,2924.5532162,2794.1325412,2811.3480703,66023830,3593704538.65,baostock
600276,2025-06-16,2786.3073007,2821.2600416,2770.135137,2804.5661952,39224137,2100282374.52,baostock
600276,2025-06-17,2817.08658,2828.0419167,2691.882732,2704.4031168,69518032,3648258374.23,baostock
600276,2025-06-18,2697.099559,2724.7487421,2677.2756164,2702.8380687,33409543,1728559050.68,baostock
600276,2025-06-19,2704.4031168,2733.0956653,2676.7539337,2690.8393666,37316694,1930536851.94,baostock
600276,2025-06-20,2699.7079725,2729.9655691,2693.4477801,2700.2296552,24060775,1249132876.4,baostock
600276,2025-06-23,2696.0561936,2722.1403286,2671.015424,2710.6633092,31328106,1620281114.79,baostock
600276,2025-06-24,2717.4451843,2738.834175,2698.6646071,2720.5752805,45103539,2347206996.63,baostock
600276,2025-06-25,2720.5752805,2766.4833581,2676.7539337,2762.3098965,53648196,2799316482.17,baostock
600276,2025-06-26,2744.051002,2762.3098965,2707.533213,2716.9235016,39226868,2050704854.35,baostock
600276,2025-06-27,2708.0548957,2716.4018189,2695.5345109,2710.1416265,28776507,1492711801.5,baostock
600276,2025-06-30,2708.0548957,2722.6620113,2660.0600873,2707.533213,44535488,2292910157.43,baostock
600276,2025-07-01,2707.0115303,2751.3545598,2702.316386,2736.7474442,39772496,2084478373.89,baostock
600276,2025-07-02,2733.617348,2787.8723488,2717.966867,2725.7921075,32571223,1714632081.02,baostock
600276,2025-07-03,2726.3137902,2743.0076366,2702.8380687,2737.2691269,29367818,1536828863.28,baostock
600276,2025-07-04,2744.5726847,2806.1312433,2744.051002,2778.4820602,47792312,2548289615.62,baostock
600276,2025-07-07,2784.7422526,2795.6975893,2741.9642712,2746.6594155,28638794,1516132785.69,baostock
