datetime,side,value,cash,turnover,cost,account
2026-04-20,BUY,1947050.9078979492,1052321.3575143814,0.6489017632802327,0.0003244508816401164,2999372.2654123306
2026-04-27,SELL,1329232.6206207275,1643254.0477205277,0.197976280434933,0.00029696442065239956,2972486.6683412553
2026-05-06,SELL,875956.7169189453,2056589.5061820985,0.14097010314765893,0.00021145515472148848,2932546.223101044
2026-05-11,SELL,740903.9249420166,2187855.7338232044,0.04503730489321456,6.755595733982184e-05,2928759.658765221
2026-05-18,BUY,1712713.4399414062,1175039.3812757495,0.3448785082231148,0.00017243925411155746,2887752.821217156
2026-05-25,SELL,979658.46824646,1816582.1712862018,0.2275385521423487,0.00034130782821352305,2796240.639532662
2026-06-01,BUY,1096490.9591674805,1695753.7880189898,0.042896064590022265,2.1448032295011197e-05,2792244.7471864703
2026-06-08,SELL,1079589.9677276611,1639805.82985096,0.020366851585934206,1.0183425792967103e-05,2719395.797578621
2026-06-15,SELL,828324.0184783936,1939683.3293493274,0.10805804928949575,0.00016208707393424362,2768007.347827721
2026-06-29,BUY,1799620.0103759766,1120807.123893738,0.29423537207593303,0.00014711768603796658,2920427.1342697144
2026-07-01,SELL,1656423.9624023438,1285711.3978439334,0.057142716353333844,8.571407453000065e-05,2942135.3602462774
