confidence_bucket,signals,win_rate,avg_stock_return,avg_position,avg_confidence
0-0.5,0,,,,
0.5-0.6,4,0.5,0.0022544811413320043,0.1625,0.5575
0.6-0.7,12,0.75,0.045546158668127584,0.37666666666666665,0.645
0.7-0.8,24,0.625,0.007845746522962405,0.16749999999999998,0.7008333333333333
0.8-1.0,12,0.25,-0.017697115967203404,0.06041666666666667,0.8166666666666668
