position_bucket,signals,win_rate,avg_stock_return,avg_position,avg_confidence
0%-20%,31,0.5161290322580645,-0.0072058731030114264,0.05790322580645161,0.7290322580645162
20%-40%,11,0.8181818181818182,0.05306970589017391,0.2909090909090909,0.6618181818181819
40%-60%,7,0.5714285714285714,0.04096787208396465,0.4242857142857143,0.6728571428571428
60%-80%,3,0.0,-0.03855181655293183,0.65,0.6666666666666666
80%-95%,0,,,,
