2026-06-30 13:54:44,529 | dataflows            | WARNING  | data_source_manager:_check_available_sources:476 | ⚠️ Tushare数据源不可用: API Key未配置（数据库和环境变量均未找到）
2026-06-30 13:54:44,827 | dataflows            | WARNING  | data_source_manager:get_stock_info:1528 | ⚠️ [数据来源: akshare] 不支持股票信息获取，尝试降级: 000001
2026-06-30 13:54:44,827 | dataflows            | ERROR    | data_source_manager:_try_fallback_stock_info:1598 | 🔄 akshare失败，尝试备用数据源获取股票信息...
2026-06-30 13:54:45,063 | dataflows            | ERROR    | data_source_manager:_get_akshare_stock_info:1705 | ❌ [股票信息] AKShare获取失败: 000001, 错误: If using all scalar values, you must pass an index
2026-06-30 13:54:45,063 | dataflows            | WARNING  | data_source_manager:_try_fallback_stock_info:1639 | ⚠️ [数据来源: ChinaDataSource.AKSHARE] 返回无效信息
2026-06-30 13:54:51,478 | agents               | ERROR    | agent_utils:get_stock_market_data_unified:1101 | ❌ [市场工具调试] A股数据获取失败: No module named 'app'
2026-06-30 13:55:06,160 | dataflows            | WARNING  | data_source_manager:get_stock_info:1528 | ⚠️ [数据来源: akshare] 不支持股票信息获取，尝试降级: 000001
2026-06-30 13:55:06,160 | dataflows            | ERROR    | data_source_manager:_try_fallback_stock_info:1598 | 🔄 akshare失败，尝试备用数据源获取股票信息...
2026-06-30 13:55:06,217 | dataflows            | ERROR    | data_source_manager:_get_akshare_stock_info:1705 | ❌ [股票信息] AKShare获取失败: 000001, 错误: If using all scalar values, you must pass an index
2026-06-30 13:55:06,218 | dataflows            | WARNING  | data_source_manager:_try_fallback_stock_info:1639 | ⚠️ [数据来源: ChinaDataSource.AKSHARE] 返回无效信息
2026-06-30 13:55:12,114 | agents               | ERROR    | agent_utils:get_stock_fundamentals_unified:877 | ❌ [基本面工具调试] A股价格数据获取失败: No module named 'app'
2026-06-30 13:55:12,121 | dataflows            | WARNING  | data_source_manager:get_stock_info:1528 | ⚠️ [数据来源: akshare] 不支持股票信息获取，尝试降级: 000001
2026-06-30 13:55:12,122 | dataflows            | ERROR    | data_source_manager:_try_fallback_stock_info:1598 | 🔄 akshare失败，尝试备用数据源获取股票信息...
2026-06-30 13:55:12,261 | dataflows            | ERROR    | data_source_manager:_get_akshare_stock_info:1705 | ❌ [股票信息] AKShare获取失败: 000001, 错误: If using all scalar values, you must pass an index
2026-06-30 13:55:12,261 | dataflows            | WARNING  | data_source_manager:_try_fallback_stock_info:1639 | ⚠️ [数据来源: ChinaDataSource.AKSHARE] 返回无效信息
