datetime,cash,now_account_value,SH600519.amount,SH600519.price,SH600519.weight,SH600519.count_day
2026-04-01,3000000.0,3000000.0,,,,
2026-04-02,3000000.0,3000000.0,,,,
2026-04-03,3000000.0,3000000.0,,,,
2026-04-07,288678.86702270526,2961467.917315674,1900.0,1406.7310791015625,0.9025216969818235,1.0
2026-04-08,288678.86702270526,3007869.7117492678,1900.0,1431.153076171875,0.9040254749415925,2.0
2026-04-09,288678.86702270526,2999461.8870422365,1900.0,1426.7279052734375,0.9037564476915655,3.0
2026-04-10,288678.86702270526,2987341.501300049,1900.0,1420.3487548828125,0.9033659637182169,4.0
2026-04-13,147546.4342163088,2967436.326794434,2000.0,1409.9449462890625,0.950278146532062,5.0
2026-04-14,147546.4342163088,2974450.486950684,2000.0,1413.4520263671875,0.9503953974478261,6.0
2026-04-15,147546.4342163088,3014698.045544434,2000.0,1433.5758056640625,0.9510576409354248,7.0
2026-04-16,147546.4342163088,3005593.553356934,2000.0,1429.0235595703125,0.9509093855849156,8.0
2026-04-17,147546.4342163088,2896964.158825684,2000.0,1374.7088623046875,0.9490686021203251,9.0
2026-04-20,2884568.522595215,2884568.522595215,,,,
2026-04-21,2884568.522595215,2884568.522595215,,,,
2026-04-22,2884568.522595215,2884568.522595215,,,,
2026-04-23,2884568.522595215,2884568.522595215,,,,
2026-04-24,2884568.522595215,2884568.522595215,,,,
2026-04-27,2884568.522595215,2884568.522595215,,,,
2026-04-28,2884568.522595215,2884568.522595215,,,,
2026-04-29,2884568.522595215,2884568.522595215,,,,
2026-04-30,2884568.522595215,2884568.522595215,,,,
2026-05-06,2884568.522595215,2884568.522595215,,,,
2026-05-07,2884568.522595215,2884568.522595215,,,,
2026-05-08,2884568.522595215,2884568.522595215,,,,
2026-05-11,2884568.522595215,2884568.522595215,,,,
2026-05-12,2884568.522595215,2884568.522595215,,,,
2026-05-13,2884568.522595215,2884568.522595215,,,,
2026-05-14,2884568.522595215,2884568.522595215,,,,
2026-05-15,2884568.522595215,2884568.522595215,,,,
2026-05-18,2884568.522595215,2884568.522595215,,,,
2026-05-19,2884568.522595215,2884568.522595215,,,,
2026-05-20,2884568.522595215,2884568.522595215,,,,
2026-05-21,2884568.522595215,2884568.522595215,,,,
2026-05-22,2884568.522595215,2884568.522595215,,,,
2026-05-25,2884568.522595215,2884568.522595215,,,,
2026-05-26,2884568.522595215,2884568.522595215,,,,
2026-05-27,2884568.522595215,2884568.522595215,,,,
2026-05-28,2884568.522595215,2884568.522595215,,,,
2026-05-29,2884568.522595215,2884568.522595215,,,,
2026-06-01,2884568.522595215,2884568.522595215,,,,
2026-06-02,2884568.522595215,2884568.522595215,,,,
2026-06-03,2884568.522595215,2884568.522595215,,,,
2026-06-04,2884568.522595215,2884568.522595215,,,,
2026-06-05,2884568.522595215,2884568.522595215,,,,
2026-06-08,149492.195202637,2863816.316296387,2200.0,1233.78369140625,0.9477996565799419,1.0
2026-06-09,149492.195202637,2848815.388562012,2200.0,1226.965087890625,0.9475247866875306,2.0
2026-06-10,149492.195202637,2891540.290905762,2200.0,1246.385498046875,0.9483001514200553,3.0
2026-06-11,149492.195202637,2898245.564343262,2200.0,1249.433349609375,0.948419762272107,4.0
2026-06-12,149492.195202637,2925991.023327637,2200.0,1262.044921875,0.948908867453522,5.0
2026-06-15,149492.195202637,2881267.2684448245,2200.0,1241.7159423828125,0.948115818049977,6.0
2026-06-16,149492.195202637,2848106.1356323245,2200.0,1226.6427001953125,0.9475117189867479,7.0
2026-06-17,149492.195202637,2814429.109265137,2200.0,1211.3349609375,0.9468836522794244,8.0
2026-06-18,149492.195202637,2760700.447155762,2200.0,1186.912841796875,0.9458499036515705,9.0
2026-06-22,2755302.9002319337,2755302.9002319337,,,,
2026-06-23,2755302.9002319337,2755302.9002319337,,,,
2026-06-24,2755302.9002319337,2755302.9002319337,,,,
2026-06-25,2755302.9002319337,2755302.9002319337,,,,
2026-06-26,2755302.9002319337,2755302.9002319337,,,,
2026-06-29,2755302.9002319337,2755302.9002319337,,,,
2026-06-30,2755302.9002319337,2755302.9002319337,,,,
2026-07-01,2755302.9002319337,2755302.9002319337,,,,
