datetime,side,value,cash,turnover,cost,account
2025-10-09,BUY,787247.9919433594,2255147.739848328,0.24816000671386718,0.0001240800033569336,3042395.731791687
2025-10-13,SELL,310351.98974609375,2663186.7653221134,0.13649251450538202,0.0002047387717580731,2973538.755068207
2025-10-20,BUY,724034.9784851074,2219520.0583938602,0.1502851432346584,7.51425716173292e-05,2943555.0368789677
2025-10-27,SELL,591583.9965820312,2373568.640603066,0.052113258760852786,7.81698881412792e-05,2965152.637185097
2025-11-03,SELL,300239.9917602539,2699502.9975336078,0.10894277352265941,0.00016341416028398914,2999742.9892938617
2025-11-10,SELL,0.0,2983440.450710869,0.0953246457056067,0.00014298696855841,2983440.450710869
2025-11-17,BUY,298304.008102417,2688883.236703682,0.09868137603770037,4.934068801885025e-05,2987187.244806099
2025-11-24,SELL,0.0,2982262.5022090916,0.09862500699351125,0.0001479375104902669,2982262.5022090916
2025-12-01,BUY,145232.0053100586,2837712.2640945436,0.04844576860956039,2.4222884304780135e-05,2982944.2694046022
2025-12-08,SELL,0.0,2979772.857071114,0.0477538629188192,7.16307943782288e-05,2979772.857071114
2025-12-15,BUY,149609.9967956543,2831198.607071114,0.049836013388605736,2.491800669430287e-05,2980808.603866768
2025-12-22,SELL,0.0,2977798.3729574205,0.04930818937257716,7.396228405886574e-05,2977798.3729574205
2026-01-05,BUY,468408.00132751465,2533876.5229574204,0.1490027007971451,7.450135039857251e-05,3002284.524284935
