Symbol,title,content,time,source,url,_audit_time,type,date,announcement_id,adjunct_url,download_url,adjunct_type,adjunct_size_kb,text_excerpt,text_status,CacheSource
600519,短线防风险 55只个股短期均线现死叉,1.40 0.44 13.70 13.78 -0.57 13.40 -2.76 002078 太阳纸业 -2.86 0.36 13.21 13.29 -0.56 12.55 -5.53 600610 中毅达 -3.10 1.17 7.70 7.74 -0.53 7.20 -6.99 600519,2026-06-18 10:50:00,证券时报网,http://stock.eastmoney.com/a/202606183775896534.html,2026-06-18 10:50:00,,,,,,,,,,agent_preflight
600519,短线防风险 59只个股短期均线现死叉,3.90 1.87 7.69 7.74 -0.61 7.14 -7.69 002468 申通快递 -1.62 0.70 13.70 13.78 -0.59 13.37 -2.96 605069 正和生态 3.34 7.88 10.84 10.90 -0.53 11.14 2.22 600519,2026-06-18 12:01:00,证券时报网,http://finance.eastmoney.com/a/202606183775918261.html,2026-06-18 12:01:00,,,,,,,,,,agent_preflight
600519,中际旭创市值超贵州茅台，资金从消费流向AI,截至6月18日收盘，中际旭创（300308.SZ）市值1.53万亿元，超过市值1.52万亿元的贵州茅台（600519.SH）。今日中际旭创股价上涨7.19%，贵州茅台股价则下跌2.02%。 　　作为消费股的代表，贵州茅台一直是被拿来对比的对象。,2026-06-18 17:40:42,第一财经,http://finance.eastmoney.com/a/202606183776247457.html,2026-06-18 17:40:42,,,,,,,,,,agent_preflight
