strategy,start_account,end_account,total_return,annual_return,max_drawdown,sharpe,volatility,turnover_sum,cost_sum,trading_days,trades,metrics_path,trades_path
agent,1000000.0,1035654.5315338136,0.0356545315338134,0.1557264086494838,-0.0550894584920194,1.1028240313065092,0.1481745997627302,2.0219268502050975,0.00191546797002,61.0,12,/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/baseline_comparisons/catl_weekly_2026q2/backtests/agent/qlib_signal_backtest_metrics_300750_2026-04-01_2026-06-30.csv,/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/baseline_comparisons/catl_weekly_2026q2/backtests/agent/qlib_signal_backtest_trades_300750_2026-04-01_2026-06-30.csv
buy_hold_100,1000000.0,1014927.9091644288,0.0149279091644287,0.0631260032450014,-0.1638558246251581,0.3516814274579851,0.3788305176248604,0.9441999816894532,0.0004720999908447,61.0,1,/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/baseline_comparisons/catl_weekly_2026q2/backtests/buy_hold_100/qlib_signal_backtest_metrics_300750_2026-04-01_2026-06-30.csv,/Users/bakii/tradingagents 汇报/tradingagents_bundle/outputs/baseline_comparisons/catl_weekly_2026q2/backtests/buy_hold_100/qlib_signal_backtest_trades_300750_2026-04-01_2026-06-30.csv
