datetime,cash,now_account_value,SH600519.amount,SH600519.price,SH600519.weight,SH600519.count_day
2026-04-01,3000000.0,3000000.0,,,,
2026-04-02,3000000.0,3000000.0,,,,
2026-04-03,3000000.0,3000000.0,,,,
2026-04-07,3000000.0,3000000.0,,,,
2026-04-08,3000000.0,3000000.0,,,,
2026-04-09,3000000.0,3000000.0,,,,
2026-04-10,3000000.0,3000000.0,,,,
2026-04-13,3000000.0,3000000.0,,,,
2026-04-14,3000000.0,3000000.0,,,,
2026-04-15,3000000.0,3000000.0,,,,
2026-04-16,3000000.0,3000000.0,,,,
2026-04-17,3000000.0,3000000.0,,,,
2026-04-20,257495.64404296875,3014044.4721679688,2000.0,1378.2744140625,0.9145680674519858,1.0
2026-04-21,257495.64404296875,3016232.7045898438,2000.0,1379.3685302734375,0.9146300470613112,2.0
2026-04-22,257495.64404296875,3011328.8959960938,2000.0,1376.9166259765625,0.9144910260764479,3.0
2026-04-23,257495.64404296875,3029889.6870117188,2000.0,1386.197021484375,0.9150148452114346,4.0
2026-04-24,257495.64404296875,3107043.7397460938,2000.0,1424.7740478515625,0.9171251950048147,5.0
2026-04-27,118708.90253906249,2997309.5373046873,2100.0,1370.76220703125,0.9603948470914984,6.0
2026-04-28,118708.90253906249,3001002.2252929686,2100.0,1372.5206298828125,0.9604435806349748,7.0
2026-04-29,118708.90253906249,2993145.169628906,2100.0,1368.7791748046875,0.9603397443787265,8.0
2026-04-30,118708.90253906249,2959542.3498046873,2100.0,1352.77783203125,0.9598894394780678,9.0
2026-05-06,118708.90253906249,2939458.536328125,2100.0,1343.214111328125,0.9596153845778177,10.0
2026-05-07,118708.90253906249,2931355.3869140623,2100.0,1339.35546875,0.9595037493341838,11.0
2026-05-08,118708.90253906249,2935335.1842773436,2100.0,1341.2506103515625,0.9595586551154677,12.0
2026-05-11,118708.90253906249,2911415.128125,2100.0,1329.860107421875,0.9592263908391817,13.0
2026-05-12,118708.90253906249,2897506.2169921873,2100.0,1323.23681640625,0.9590306651137093,14.0
2026-05-13,118708.90253906249,2876048.1237304686,2100.0,1313.0186767578125,0.9587249943561141,15.0
2026-05-14,118708.90253906249,2872109.3419921873,2100.0,1311.14306640625,0.9586683902303239,16.0
2026-05-15,118708.90253906249,2853194.9865234373,2100.0,1302.13623046875,0.9583943953708868,17.0
2026-05-18,118708.90253906249,2832783.048046875,2100.0,1292.416259765625,0.958094601483545,18.0
2026-05-19,118708.90253906249,2835449.8327148436,2100.0,1293.6861572265625,0.9581340141626126,19.0
2026-05-20,118708.90253906249,2816371.4147460936,2100.0,1284.6011962890625,0.9578504092473313,20.0
2026-05-21,118708.90253906249,2808165.469921875,2100.0,1280.693603515625,0.9577272408586504,21.0
2026-05-22,118708.90253906249,2765495.120800781,2100.0,1260.3743896484375,0.957074991148533,22.0
2026-05-25,118708.90253906249,2756632.9259765623,2100.0,1256.154296875,0.9569369931627699,23.0
2026-05-26,118708.90253906249,2730989.700878906,2100.0,1243.9432373046875,0.956532643641659,24.0
2026-05-27,118708.90253906249,2791753.8366210936,2100.0,1272.8785400390625,0.9574787357746636,25.0
2026-05-28,118708.90253906249,2736323.5265625,2100.0,1246.483154296875,0.9566173731334356,26.0
2026-05-29,118708.90253906249,2838937.1862304686,2100.0,1295.3468017578125,0.958185442384978,27.0
2026-06-01,118708.90253906249,2805293.35078125,2100.0,1279.325927734375,0.9576839611065977,28.0
2026-06-02,118708.90253906249,2800410.9533203123,2100.0,1277.0009765625,0.9576101848915014,29.0
2026-06-03,118708.90253906249,2748488.7609375,2100.0,1252.276123046875,0.9568093913185327,30.0
2026-06-04,118708.90253906249,2719952.9088867186,2100.0,1238.6876220703125,0.9563562655253285,31.0
2026-06-05,118708.90253906249,2729923.03828125,2100.0,1243.435302734375,0.9565156596451887,32.0
2026-06-08,118708.90253906249,2709654.6544921873,2100.0,1233.78369140625,0.9561903940997568,33.0
2026-06-09,118708.90253906249,2695335.587109375,2100.0,1226.965087890625,0.9559576539905473,34.0
2026-06-10,118708.90253906249,2736118.4484375,2100.0,1246.385498046875,0.9566141215096691,35.0
2026-06-11,118708.90253906249,2742518.93671875,2100.0,1249.433349609375,0.9567153754347126,36.0
2026-06-12,118708.90253906249,2769003.2384765623,2100.0,1262.044921875,0.9571293738882107,37.0
2026-06-15,118708.90253906249,2726312.3815429686,2100.0,1241.7159423828125,0.9564580701233222,38.0
2026-06-16,118708.90253906249,2694658.5729492186,2100.0,1226.6427001953125,0.9559465886584885,39.0
2026-06-17,118708.90253906249,2662512.3205078123,2100.0,1211.3349609375,0.9554147030138732,40.0
2026-06-18,118708.90253906249,2611225.8703125,2100.0,1186.912841796875,0.9545390140743145,41.0
2026-06-22,118708.90253906249,2665404.691113281,2100.0,1212.7122802734375,0.9554630848610535,42.0
2026-06-23,118708.90253906249,2626509.317578125,2100.0,1194.190673828125,0.9548035479087801,43.0
2026-06-24,118708.90253906249,2596209.280957031,2100.0,1179.7620849609375,0.9542760657202092,44.0
2026-06-25,118708.90253906249,2605276.55390625,2100.0,1184.079833984375,0.9544352009919734,45.0
2026-06-26,118708.90253906249,2572831.9127929686,2100.0,1168.6300048828125,0.9538606070809358,46.0
2026-06-29,118708.90253906249,2628124.8205078123,2100.0,1194.9599609375,0.9548313300750589,47.0
2026-06-30,118708.90253906249,2608237.88203125,2100.0,1185.489990234375,0.9544869341263406,48.0
2026-07-01,118708.90253906249,2624029.923046875,2100.0,1193.010009765625,0.9547608426655347,49.0
