signal_date,execution_date,window_end,window_end_price_type,calendar_gap_days,cross_weekend_or_holiday,target_position,action,signal_close,execution_open,window_end_price,gap_return,post_execution_return,signal_to_window_return,estimated_gap_not_captured,estimated_post_execution_capture
2026-04-03,2026-04-07,2026-04-13,next_execution_open,4,True,0.35,持有,4000.38514672,4010.146688,4872.8558768,0.00244015036602252,0.21513157894736845,0.21809668271450233,0.0008540526281078819,0.07529605263157896
2026-04-10,2026-04-13,2026-04-20,next_execution_open,3,True,0.45,持有,4845.4839874,4872.8558768,5599.694964,0.005648948478867544,0.14916080129940434,0.15565235145987888,0.0025420268154903946,0.06712236058473196
2026-04-17,2026-04-20,2026-04-27,next_execution_open,3,True,0.42,持有,5612.886236,5599.694964,5929.476764,-0.002350176263219761,0.058892815076560634,0.05640423031727382,-0.0009870740305522995,0.024734982332155465
2026-04-24,2026-04-27,2026-05-06,next_execution_open,3,True,0.6,持有,5850.26317564,5929.476764,5867.1573285,0.013540175199269422,-0.010510107043232408,0.0028877594653085037,0.008124105119561654,-0.006306064225939445
2026-05-08,2026-05-11,2026-05-18,next_execution_open,3,True,0.35,持有,5850.648726,5870.85525546,6801.74233323,0.0034537246049661796,0.1585607270600411,0.16256207674943557,0.0012088036117381628,0.05549625447101438
2026-05-15,2026-05-18,2026-05-25,next_execution_open,3,True,0.35,持有,6932.75460267,6801.74233323,6966.56422059,-0.018897577795346066,0.024232303913478193,0.004876794269766727,-0.006614152228371122,0.008481306369717367
2026-05-22,2026-05-25,2026-06-01,next_execution_open,3,True,0.4,持有,6854.23968918,6966.56422059,7666.595001,0.016387598990346586,0.10048436478070877,0.11851866124588128,0.0065550395961386345,0.04019374591228351
2026-05-29,2026-06-01,2026-06-08,next_execution_open,3,True,0.4,持有,7667.65155156,7666.595001,7480.31193039,-0.00013779324124163495,-0.02429801894918171,-0.024432464087636552,-5.511729649665398e-05,-0.009719207579672685
2026-06-05,2026-06-08,2026-06-15,next_execution_open,3,True,0.1,持有,7791.99434559,7480.31193039,7759.043175,-0.04000033898592359,0.03726198147935622,-0.004228849397028833,-0.0040000338985923594,0.003726198147935622
2026-06-12,2026-06-15,2026-06-22,next_execution_open,3,True,0.35,持有,7587.353709,7759.043175,9032.05453098,0.022628372497824234,0.16406808510638293,0.1904090513489991,0.00791993037423848,0.057423829787234024
2026-06-26,2026-06-29,2026-06-30,end_close,3,True,0.45,持有,8279.98863549,8181.663399,8386.37007,-0.01187504486039459,0.025020177562550483,0.01284801697118576,-0.005343770187177565,0.011259079903147718
