datetime,cash,now_account_value,SH600276.amount,SH600276.price,SH600276.weight,SH600276.count_day
2026-04-17,3000000.0,3000000.0,,,,
2026-04-20,3000000.0,3000000.0,,,,
2026-04-21,3000000.0,3000000.0,,,,
2026-04-22,3000000.0,3000000.0,,,,
2026-04-23,3000000.0,3000000.0,,,,
2026-04-24,3000000.0,3000000.0,,,,
2026-04-27,3000000.0,3000000.0,,,,
2026-04-28,3000000.0,3000000.0,,,,
2026-04-29,3000000.0,3000000.0,,,,
2026-04-30,3000000.0,3000000.0,,,,
2026-05-06,149265.10699653625,2980100.838502884,53000.0,53.41199493408203,0.9499127327947994,1.0
2026-05-07,149265.10699653625,2982740.0825824738,53000.0,53.4617919921875,0.9499570519509358,2.0
2026-05-08,149265.10699653625,2936289.6698322296,53000.0,52.58536911010742,0.9491654013123764,3.0
2026-05-11,149265.10699653625,2974294.4610919952,53000.0,53.30244064331055,0.9498149531093386,4.0
2026-05-12,149265.10699653625,3111006.455263138,53000.0,55.88191223144531,0.9520203158871584,5.0
2026-05-13,149265.10699653625,3097810.4370441437,53000.0,55.632930755615234,0.9518159325659186,6.0
2026-05-14,149265.10699653625,3016522.1641864777,53000.0,54.09918975830078,0.9505174837537481,7.0
2026-05-15,149265.10699653625,2999103.2341327667,53000.0,53.770530700683594,0.9502300870147611,8.0
2026-05-18,143903.9683856964,2916619.9336566925,53100.0,52.21687316894531,0.9506607060024863,9.0
2026-05-19,143903.9683856964,2872197.2171344757,53100.0,51.380287170410156,0.9498976019030942,10.0
2026-05-20,143903.9683856964,2838351.3957538605,53100.0,50.742889404296875,0.9493001576193226,11.0
2026-05-21,143903.9683856964,2864793.4310474396,53100.0,51.2408561706543,0.9497681170215887,12.0
2026-05-22,143903.9683856964,2812966.9284381866,53100.0,50.26483917236328,0.948842637668124,13.0
2026-05-25,118988.16206359863,2757666.247390747,53600.0,49.229068756103516,0.9568518626297932,14.0
2026-05-26,118988.16206359863,2745388.366531372,53600.0,49.000003814697266,0.9566588962369893,15.0
2026-05-27,118988.16206359863,2818820.104812622,53600.0,50.369998931884766,0.9577879546621482,16.0
2026-05-28,118988.16206359863,2691788.1620635986,53600.0,48.0,0.955795866948022,17.0
2026-05-29,118988.16206359863,2809172.0884552,53600.0,50.189998626708984,0.9576429786723989,18.0
2026-06-01,144110.42191123962,2755037.3246822357,53100.0,49.16999816894531,0.9476920255779615,19.0
2026-06-02,144110.42191123962,2714150.5029354095,53100.0,48.400001525878906,0.9469040417046213,20.0
2026-06-03,144110.42191123962,2650430.4624233246,53100.0,47.20000076293945,0.9456275409016098,21.0
2026-06-04,144110.42191123962,2620163.4786281586,53100.0,46.630001068115234,0.9449994540086134,22.0
2026-06-05,144110.42191123962,2644058.5191402435,53100.0,47.08000183105469,0.9454965081642371,23.0
2026-06-08,106811.7831325531,2582977.7091121674,53900.0,45.939998626708984,0.958647810720261,24.0
2026-06-09,106811.7831325531,2606693.8407039642,53900.0,46.380001068115234,0.9590240397761067,25.0
2026-06-10,106811.7831325531,2640650.6926631927,53900.0,47.0099983215332,0.9595509608941009,26.0
2026-06-11,106811.7831325531,2639033.758459091,53900.0,46.97999954223633,0.9595261777951186,27.0
2026-06-12,106811.7831325531,2720422.8736019135,53900.0,48.4900016784668,0.9607370662226746,28.0
2026-06-15,130995.45244693756,2687787.509484291,53400.0,47.880001068115234,0.9512627199937871,29.0
2026-06-16,130995.45244693756,2659485.370965004,53400.0,47.349998474121094,0.950744059780481,30.0
2026-06-17,130995.45244693756,2640261.5420770645,53400.0,46.9900016784668,0.9503854257014687,31.0
2026-06-18,130995.45244693756,2716623.3546686172,53400.0,48.41999816894531,0.9517800462762653,32.0
2026-06-22,126170.45237064362,2766930.485024452,53500.0,49.36000061035156,0.9544005702154355,33.0
2026-06-23,126170.45237064362,2746600.427880287,53500.0,48.97999954223633,0.954063047871868,34.0
2026-06-24,126170.45237064362,2814545.4523706436,53500.0,50.25,0.9551719968620964,35.0
2026-06-25,126170.45237064362,2803310.5013513565,53500.0,50.040000915527344,0.9549923376986523,36.0
2026-06-26,126170.45237064362,2730015.354409218,53500.0,48.66999816894531,0.9537839770143172,37.0
2026-06-29,150638.69403266907,2955928.7102069855,53000.0,52.93000030517578,0.9490384549828603,38.0
2026-06-30,150638.69403266907,2908758.7425556183,53000.0,52.040000915527344,0.9482120356601597,39.0
2026-07-01,2881865.731332779,2881865.731332779,,,,
