datetime,account,return,total_turnover,turnover,total_cost,cost,value,cash,bench
2025-10-09,3170546.46652565,0.05734796218872073,2994840.08102417,0.9982800270080566,1497.420040512085,0.0004991400135040283,3166883.967590332,3662.4989353180863,0.0
2025-10-10,2975669.563754654,-0.061464767928333254,2994840.08102417,0.0,1497.420040512085,0.0,2972007.064819336,3662.4989353180863,-0.019672632
2025-10-13,2946464.401706314,-0.009814652273248115,2994840.08102417,0.0,1497.420040512085,0.0,2942801.902770996,3662.4989353180863,-0.004950464
2025-10-14,2812652.579959488,-0.04541436905510719,2994840.08102417,0.0,1497.420040512085,0.0,2808990.08102417,3662.4989353180863,-0.011953473
2025-10-15,2896550.474628067,0.029828744319992596,2994840.08102417,0.0,1497.420040512085,0.0,2892887.975692749,3662.4989353180863,0.014809966
2025-10-16,2855663.450320816,-0.014115764481025,2994840.08102417,0.0,1497.420040512085,0.0,2852000.951385498,3662.4989353180863,0.0026341677
2025-10-17,2729816.507037735,-0.0440692488706759,2994840.08102417,0.0,1497.420040512085,0.0,2726154.008102417,3662.4989353180863,-0.022559106
2025-10-20,2730347.417911148,0.00019448591949105208,2994840.08102417,0.0,1497.420040512085,0.0,2726684.91897583,3662.4989353180863,0.0053133965
2025-10-21,2796722.417911148,0.024310093127555242,2994840.08102417,0.0,1497.420040512085,0.0,2793059.91897583,3662.4989353180863,0.015347719
2025-10-22,2751587.498935318,-0.016138505089661713,2994840.08102417,0.0,1497.420040512085,0.0,2747925.0,3662.4989353180863,-0.0033208132
2025-10-23,2756897.417911148,0.0019297656272550536,2994840.08102417,0.0,1497.420040512085,0.0,2753234.91897583,3662.4989353180863,0.002999425
2025-10-24,2794067.458423233,0.013482562053486935,2994840.08102417,0.0,1497.420040512085,0.0,2790404.959487915,3662.4989353180863,0.011796474
2025-10-27,2808404.482730484,0.005131237710109455,2994840.08102417,0.0,1497.420040512085,0.0,2804741.983795166,3662.4989353180863,0.011872768
2025-10-28,2849291.507037735,0.0145588089460313,2994840.08102417,0.0,1497.420040512085,0.0,2845629.008102417,3662.4989353180863,-0.005098641
2025-10-29,2870531.588061905,0.00745451315588701,2994840.08102417,0.0,1497.420040512085,0.0,2866869.089126587,3662.4989353180863,0.011906505
2025-10-30,2872124.523242569,0.0005549268948263215,2994840.08102417,0.0,1497.420040512085,0.0,2868462.024307251,3662.4989353180863,-0.0079882145
2025-10-31,2956022.417911148,0.029211092342841777,2994840.08102417,0.0,1497.420040512085,0.0,2952359.91897583,3662.4989353180863,-0.014701664
2025-11-03,2956022.417911148,0.0,2994840.08102417,0.0,1497.420040512085,0.0,2952359.91897583,3662.4989353180863,0.002744317
2025-11-04,2875841.507037735,-0.027124594992101698,2994840.08102417,0.0,1497.420040512085,0.0,2872179.008102417,3662.4989353180863,-0.0074576735
2025-11-05,2805749.523242569,-0.024372686611427476,2994840.08102417,0.0,1497.420040512085,0.0,2802087.024307251,3662.4989353180863,0.00185287
2025-11-06,2849822.417911148,0.015708064566520755,2994840.08102417,0.0,1497.420040512085,0.0,2846159.91897583,3662.4989353180863,0.014294982
2025-11-07,2792474.523242569,-0.020123322179005716,2994840.08102417,0.0,1497.420040512085,0.0,2788812.024307251,3662.4989353180863,-0.0031126142
2025-11-10,2813183.490832901,0.007415991593823089,2994840.08102417,0.0,1497.420040512085,0.0,2809520.991897583,3662.4989353180863,0.003474474
2025-11-11,2737250.474628067,-0.026991846231243326,2994840.08102417,0.0,1497.420040512085,0.0,2733587.975692749,3662.4989353180863,-0.009134114
2025-11-12,2687867.458423233,-0.01804110243566368,2994840.08102417,0.0,1497.420040512085,0.0,2684204.959487915,3662.4989353180863,-0.0013451576
2025-11-13,2704859.442218399,0.006321734258851408,2994840.08102417,0.0,1497.420040512085,0.0,2701196.943283081,3662.4989353180863,0.012089372
