ticker,signal_date,market_ok,market_rows,news_ok,news_rows,fundamentals_ok,fundamentals_rows,social_discussion_ok,social_discussion_rows,social_event_rows,social_forum_rows,social_xueqiu_rows,social_irm_rows,social_news_rows,social_cninfo_event_rows,social_snapshot_cached,news_warning,fundamentals_warning,all_core_ok
600276,2026-04-03,True,215,True,11,True,39,False,0,4,0,0,0,0,4,True,EastMoney stock news loaded from signal-date snapshot cache: 2026-04-03; CNInfo announcements loaded from signal-date snapshot cache: 2026-04-03; news_agent_recent_window_days=14,"EastMoney company profile unavailable: HTTPSConnectionPool(host='push2.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/get?fltt=2&invt=2&fields=f57%2Cf58%2Cf84%2Cf85%2Cf127%2Cf116%2Cf117%2Cf189%2Cf43&secid=1.600276 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response'))); CNInfo announcements loaded from local prefetch cache; BaoStock financial indicators loaded from local prefetch cache; Sina financial statements loaded from local prefetch cache; CNInfo announcements are supplementary evidence only; announcement_rows=11.; Sina statements expose report_period_only, not disclosure_date; use audited announcements to verify actual disclosure timing.",True
600276,2026-04-10,True,214,True,7,True,39,False,0,6,0,0,0,0,6,True,EastMoney stock news loaded from signal-date snapshot cache: 2026-04-10; CNInfo announcements loaded from signal-date snapshot cache: 2026-04-10; news_agent_recent_window_days=14,"EastMoney company profile unavailable: HTTPSConnectionPool(host='push2.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/get?fltt=2&invt=2&fields=f57%2Cf58%2Cf84%2Cf85%2Cf127%2Cf116%2Cf117%2Cf189%2Cf43&secid=1.600276 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response'))); CNInfo announcements loaded from local prefetch cache; BaoStock financial indicators loaded from local prefetch cache; Sina financial statements loaded from local prefetch cache; CNInfo announcements are supplementary evidence only; announcement_rows=15.; Sina statements expose report_period_only, not disclosure_date; use audited announcements to verify actual disclosure timing.",True
600276,2026-04-17,True,214,True,2,True,36,False,0,2,0,0,0,0,2,True,EastMoney stock news loaded from signal-date snapshot cache: 2026-04-17; CNInfo announcements loaded from signal-date snapshot cache: 2026-04-17; news_agent_recent_window_days=14,"EastMoney company profile unavailable: HTTPSConnectionPool(host='push2.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/get?fltt=2&invt=2&fields=f57%2Cf58%2Cf84%2Cf85%2Cf127%2Cf116%2Cf117%2Cf189%2Cf43&secid=1.600276 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response'))); CNInfo announcements loaded from local prefetch cache; BaoStock financial indicators loaded from local prefetch cache; Sina financial statements loaded from local prefetch cache; CNInfo announcements are supplementary evidence only; announcement_rows=2.; Sina statements expose report_period_only, not disclosure_date; use audited announcements to verify actual disclosure timing.",True
600276,2026-04-24,True,215,True,6,True,39,False,0,5,0,0,0,0,5,True,EastMoney stock news loaded from signal-date snapshot cache: 2026-04-24; CNInfo announcements loaded from signal-date snapshot cache: 2026-04-24; news_agent_recent_window_days=14,"EastMoney company profile unavailable: HTTPSConnectionPool(host='push2.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/get?fltt=2&invt=2&fields=f57%2Cf58%2Cf84%2Cf85%2Cf127%2Cf116%2Cf117%2Cf189%2Cf43&secid=1.600276 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response'))); CNInfo announcements loaded from local prefetch cache; BaoStock financial indicators loaded from local prefetch cache; Sina financial statements loaded from local prefetch cache; CNInfo announcements are supplementary evidence only; announcement_rows=5.; Sina statements expose report_period_only, not disclosure_date; use audited announcements to verify actual disclosure timing.",True
600276,2026-05-01,True,214,True,15,True,39,False,0,11,0,0,0,0,11,True,EastMoney stock news loaded from signal-date snapshot cache: 2026-05-01; CNInfo announcements loaded from signal-date snapshot cache: 2026-05-01; news_agent_recent_window_days=14,"EastMoney company profile unavailable: HTTPSConnectionPool(host='push2.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/get?fltt=2&invt=2&fields=f57%2Cf58%2Cf84%2Cf85%2Cf127%2Cf116%2Cf117%2Cf189%2Cf43&secid=1.600276 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response'))); CNInfo announcements loaded from local prefetch cache; BaoStock financial indicators loaded from local prefetch cache; Sina financial statements loaded from local prefetch cache; CNInfo announcements are supplementary evidence only; announcement_rows=16.; Sina statements expose report_period_only, not disclosure_date; use audited announcements to verify actual disclosure timing.",True
600276,2026-05-08,True,212,True,14,True,39,False,0,2,0,0,0,0,2,True,EastMoney stock news loaded from signal-date snapshot cache: 2026-05-08; CNInfo announcements loaded from signal-date snapshot cache: 2026-05-08; news_agent_recent_window_days=14,"EastMoney company profile unavailable: HTTPSConnectionPool(host='push2.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/get?fltt=2&invt=2&fields=f57%2Cf58%2Cf84%2Cf85%2Cf127%2Cf116%2Cf117%2Cf189%2Cf43&secid=1.600276 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response'))); CNInfo announcements loaded from local prefetch cache; BaoStock financial indicators loaded from local prefetch cache; Sina financial statements loaded from local prefetch cache; CNInfo announcements are supplementary evidence only; announcement_rows=18.; Sina statements expose report_period_only, not disclosure_date; use audited announcements to verify actual disclosure timing.",True
600276,2026-05-15,True,212,True,4,True,36,False,0,3,0,0,0,0,3,True,EastMoney stock news loaded from signal-date snapshot cache: 2026-05-15; CNInfo announcements loaded from signal-date snapshot cache: 2026-05-15; news_agent_recent_window_days=14,"EastMoney company profile unavailable: HTTPSConnectionPool(host='push2.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/get?fltt=2&invt=2&fields=f57%2Cf58%2Cf84%2Cf85%2Cf127%2Cf116%2Cf117%2Cf189%2Cf43&secid=1.600276 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response'))); CNInfo announcements loaded from local prefetch cache; BaoStock financial indicators loaded from local prefetch cache; Sina financial statements loaded from local prefetch cache; CNInfo announcements are supplementary evidence only; announcement_rows=3.; Sina statements expose report_period_only, not disclosure_date; use audited announcements to verify actual disclosure timing.",True
600276,2026-05-22,True,212,True,7,True,36,False,0,4,0,0,0,0,4,True,EastMoney stock news loaded from signal-date snapshot cache: 2026-05-22; CNInfo announcements loaded from signal-date snapshot cache: 2026-05-22; news_agent_recent_window_days=14,"EastMoney company profile unavailable: HTTPSConnectionPool(host='push2.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/get?fltt=2&invt=2&fields=f57%2Cf58%2Cf84%2Cf85%2Cf127%2Cf116%2Cf117%2Cf189%2Cf43&secid=1.600276 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response'))); CNInfo announcements loaded from local prefetch cache; BaoStock financial indicators loaded from local prefetch cache; Sina financial statements loaded from local prefetch cache; CNInfo announcements are supplementary evidence only; announcement_rows=6.; Sina statements expose report_period_only, not disclosure_date; use audited announcements to verify actual disclosure timing.",True
600276,2026-05-29,True,212,True,8,True,39,False,0,4,0,0,0,0,4,True,EastMoney stock news loaded from signal-date snapshot cache: 2026-05-29; CNInfo announcements loaded from signal-date snapshot cache: 2026-05-29; news_agent_recent_window_days=14,"EastMoney company profile unavailable: HTTPSConnectionPool(host='push2.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/get?fltt=2&invt=2&fields=f57%2Cf58%2Cf84%2Cf85%2Cf127%2Cf116%2Cf117%2Cf189%2Cf43&secid=1.600276 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response'))); CNInfo announcements loaded from local prefetch cache; BaoStock financial indicators loaded from local prefetch cache; Sina financial statements loaded from local prefetch cache; CNInfo announcements are supplementary evidence only; announcement_rows=10.; Sina statements expose report_period_only, not disclosure_date; use audited announcements to verify actual disclosure timing.",True
600276,2026-06-05,True,212,True,8,True,39,False,0,5,0,0,0,0,5,True,EastMoney stock news loaded from signal-date snapshot cache: 2026-06-05; CNInfo announcements loaded from signal-date snapshot cache: 2026-06-05; news_agent_recent_window_days=14,"EastMoney company profile unavailable: HTTPSConnectionPool(host='push2.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/get?fltt=2&invt=2&fields=f57%2Cf58%2Cf84%2Cf85%2Cf127%2Cf116%2Cf117%2Cf189%2Cf43&secid=1.600276 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response'))); CNInfo announcements loaded from local prefetch cache; BaoStock financial indicators loaded from local prefetch cache; Sina financial statements loaded from local prefetch cache; CNInfo announcements are supplementary evidence only; announcement_rows=13.; Sina statements expose report_period_only, not disclosure_date; use audited announcements to verify actual disclosure timing.",True
