ticker,signal_date,market_ok,market_rows,news_ok,news_rows,fundamentals_ok,fundamentals_rows,social_discussion_ok,social_discussion_rows,social_event_rows,social_forum_rows,social_xueqiu_rows,social_news_rows,social_cninfo_event_rows,social_snapshot_cached,news_warning,fundamentals_warning,all_core_ok
002230,2025-10-03,True,215,False,0,True,36,False,0,0,0,0,0,0,True,EastMoney stock news loaded from signal-date snapshot cache: 2025-10-03; CNInfo announcements loaded from signal-date snapshot cache: 2025-10-03; news_agent_recent_window_days=14,"EastMoney company profile unavailable: HTTPSConnectionPool(host='push2.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/get?fltt=2&invt=2&fields=f57%2Cf58%2Cf84%2Cf85%2Cf127%2Cf116%2Cf117%2Cf189%2Cf43&secid=0.002230 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response'))); CNInfo announcements loaded from local prefetch cache; BaoStock financial indicators loaded from local prefetch cache; Sina financial statements loaded from local prefetch cache; CNInfo announcements are supplementary evidence only; announcement_rows=0.; Sina statements expose report_period_only, not disclosure_date; use audited announcements to verify actual disclosure timing.",True
002230,2025-10-10,True,212,False,0,True,36,False,0,0,0,0,0,0,True,EastMoney stock news loaded from signal-date snapshot cache: 2025-10-10; CNInfo announcements loaded from signal-date snapshot cache: 2025-10-10; news_agent_recent_window_days=14,"EastMoney company profile unavailable: HTTPSConnectionPool(host='push2.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/get?fltt=2&invt=2&fields=f57%2Cf58%2Cf84%2Cf85%2Cf127%2Cf116%2Cf117%2Cf189%2Cf43&secid=0.002230 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response'))); CNInfo announcements loaded from local prefetch cache; BaoStock financial indicators loaded from local prefetch cache; Sina financial statements loaded from local prefetch cache; CNInfo announcements are supplementary evidence only; announcement_rows=0.; Sina statements expose report_period_only, not disclosure_date; use audited announcements to verify actual disclosure timing.",True
002230,2025-10-17,True,212,False,0,True,36,False,0,0,0,0,0,0,True,EastMoney stock news loaded from signal-date snapshot cache: 2025-10-17; CNInfo announcements signal-date snapshot cache missing: 2025-10-17; news_agent_recent_window_days=14,"EastMoney company profile unavailable: HTTPSConnectionPool(host='push2.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/get?fltt=2&invt=2&fields=f57%2Cf58%2Cf84%2Cf85%2Cf127%2Cf116%2Cf117%2Cf189%2Cf43&secid=0.002230 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response'))); BaoStock financial indicators loaded from local prefetch cache; Sina financial statements loaded from local prefetch cache; CNInfo announcements are supplementary evidence only; announcement_rows=20.; Sina statements expose report_period_only, not disclosure_date; use audited announcements to verify actual disclosure timing.",True
002230,2025-10-24,True,212,False,0,True,36,False,0,0,0,0,0,0,True,EastMoney stock news loaded from signal-date snapshot cache: 2025-10-24; CNInfo announcements loaded from signal-date snapshot cache: 2025-10-24; news_agent_recent_window_days=14,"EastMoney company profile unavailable: HTTPSConnectionPool(host='push2.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/get?fltt=2&invt=2&fields=f57%2Cf58%2Cf84%2Cf85%2Cf127%2Cf116%2Cf117%2Cf189%2Cf43&secid=0.002230 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response'))); CNInfo announcements loaded from local prefetch cache; BaoStock financial indicators loaded from local prefetch cache; Sina financial statements loaded from local prefetch cache; CNInfo announcements are supplementary evidence only; announcement_rows=0.; Sina statements expose report_period_only, not disclosure_date; use audited announcements to verify actual disclosure timing.",True
002230,2025-10-31,True,212,False,0,True,36,False,0,0,0,0,0,0,True,EastMoney stock news loaded from signal-date snapshot cache: 2025-10-31; CNInfo announcements loaded from signal-date snapshot cache: 2025-10-31; news_agent_recent_window_days=14,"EastMoney company profile unavailable: HTTPSConnectionPool(host='push2.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/get?fltt=2&invt=2&fields=f57%2Cf58%2Cf84%2Cf85%2Cf127%2Cf116%2Cf117%2Cf189%2Cf43&secid=0.002230 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response'))); CNInfo announcements loaded from local prefetch cache; BaoStock financial indicators loaded from local prefetch cache; Sina financial statements loaded from local prefetch cache; CNInfo announcements are supplementary evidence only; announcement_rows=0.; Sina statements expose report_period_only, not disclosure_date; use audited announcements to verify actual disclosure timing.",True
002230,2025-11-07,True,212,False,0,True,36,False,0,0,0,0,0,0,True,EastMoney stock news loaded from signal-date snapshot cache: 2025-11-07; CNInfo announcements loaded from signal-date snapshot cache: 2025-11-07; news_agent_recent_window_days=14,"EastMoney company profile unavailable: HTTPSConnectionPool(host='push2.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/get?fltt=2&invt=2&fields=f57%2Cf58%2Cf84%2Cf85%2Cf127%2Cf116%2Cf117%2Cf189%2Cf43&secid=0.002230 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response'))); CNInfo announcements loaded from local prefetch cache; BaoStock financial indicators loaded from local prefetch cache; Sina financial statements loaded from local prefetch cache; CNInfo announcements are supplementary evidence only; announcement_rows=0.; Sina statements expose report_period_only, not disclosure_date; use audited announcements to verify actual disclosure timing.",True
002230,2025-11-14,True,212,False,0,True,36,False,0,0,0,0,0,0,True,EastMoney stock news loaded from signal-date snapshot cache: 2025-11-14; CNInfo announcements loaded from signal-date snapshot cache: 2025-11-14; news_agent_recent_window_days=14,"EastMoney company profile unavailable: HTTPSConnectionPool(host='push2.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/get?fltt=2&invt=2&fields=f57%2Cf58%2Cf84%2Cf85%2Cf127%2Cf116%2Cf117%2Cf189%2Cf43&secid=0.002230 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response'))); CNInfo announcements loaded from local prefetch cache; BaoStock financial indicators loaded from local prefetch cache; Sina financial statements loaded from local prefetch cache; CNInfo announcements are supplementary evidence only; announcement_rows=0.; Sina statements expose report_period_only, not disclosure_date; use audited announcements to verify actual disclosure timing.",True
002230,2025-11-21,True,213,False,0,True,36,False,0,0,0,0,0,0,True,EastMoney stock news loaded from signal-date snapshot cache: 2025-11-21; CNInfo announcements loaded from signal-date snapshot cache: 2025-11-21; news_agent_recent_window_days=14,"EastMoney company profile unavailable: HTTPSConnectionPool(host='push2.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/get?fltt=2&invt=2&fields=f57%2Cf58%2Cf84%2Cf85%2Cf127%2Cf116%2Cf117%2Cf189%2Cf43&secid=0.002230 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response'))); CNInfo announcements loaded from local prefetch cache; BaoStock financial indicators loaded from local prefetch cache; Sina financial statements loaded from local prefetch cache; CNInfo announcements are supplementary evidence only; announcement_rows=0.; Sina statements expose report_period_only, not disclosure_date; use audited announcements to verify actual disclosure timing.",True
002230,2025-11-28,True,213,False,0,True,36,False,0,0,0,0,0,0,True,EastMoney stock news loaded from signal-date snapshot cache: 2025-11-28; CNInfo announcements loaded from signal-date snapshot cache: 2025-11-28; news_agent_recent_window_days=14,"EastMoney company profile unavailable: HTTPSConnectionPool(host='push2.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/get?fltt=2&invt=2&fields=f57%2Cf58%2Cf84%2Cf85%2Cf127%2Cf116%2Cf117%2Cf189%2Cf43&secid=0.002230 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response'))); CNInfo announcements loaded from local prefetch cache; BaoStock financial indicators loaded from local prefetch cache; Sina financial statements loaded from local prefetch cache; CNInfo announcements are supplementary evidence only; announcement_rows=0.; Sina statements expose report_period_only, not disclosure_date; use audited announcements to verify actual disclosure timing.",True
002230,2025-12-05,True,213,False,0,True,36,False,0,0,0,0,0,0,True,EastMoney stock news loaded from signal-date snapshot cache: 2025-12-05; CNInfo announcements loaded from signal-date snapshot cache: 2025-12-05; news_agent_recent_window_days=14,"EastMoney company profile unavailable: HTTPSConnectionPool(host='push2.eastmoney.com', port=443): Max retries exceeded with url: /api/qt/stock/get?fltt=2&invt=2&fields=f57%2Cf58%2Cf84%2Cf85%2Cf127%2Cf116%2Cf117%2Cf189%2Cf43&secid=0.002230 (Caused by ProxyError('Unable to connect to proxy', RemoteDisconnected('Remote end closed connection without response'))); CNInfo announcements loaded from local prefetch cache; BaoStock financial indicators loaded from local prefetch cache; Sina financial statements loaded from local prefetch cache; CNInfo announcements are supplementary evidence only; announcement_rows=0.; Sina statements expose report_period_only, not disclosure_date; use audited announcements to verify actual disclosure timing.",True
