datetime,account,return,total_turnover,turnover,total_cost,cost,value,cash,bench
2025-10-09,3162195.792081833,0.054539964040120445,2848200.0770568848,0.9494000256856282,1424.1000385284424,0.00047470001284281415,3011819.969177246,150375.8229045868,0.0
2025-10-10,2976860.8845500946,-0.05860956111440619,2848200.0770568848,0.0,1424.1000385284424,0.0,2826485.061645508,150375.8229045868,-0.019672632
2025-10-13,2952331.9558582306,-0.008221801300300025,2955740.077972412,0.036125302822735135,1477.870038986206,1.8062651411367566e-05,2909549.903869629,42782.051988601685,-0.004950464
2025-10-14,2820032.1320972443,-0.04481197431016097,2955740.077972412,0.0,1477.870038986206,0.0,2777250.0801086426,42782.051988601685,-0.011953473
2025-10-15,2902982.027956009,0.029414521527836357,2955740.077972412,0.0,1477.870038986206,0.0,2860199.975967407,42782.051988601685,0.014809966
2025-10-16,2862557.003923416,-0.013925344229931748,2955740.077972412,0.0,1477.870038986206,0.0,2819774.9519348145,42782.051988601685,0.0026341677
2025-10-17,2738132.059999466,-0.04346636372774885,2955740.077972412,0.0,1477.870038986206,0.0,2695350.0080108643,42782.051988601685,-0.022559106
2025-10-20,2777598.568502426,0.01591409577913972,5694664.981842041,1.000289556476017,5586.257394790649,0.0015004343347140257,0.0,2777598.568502426,0.0053133965
2025-10-21,2777598.568502426,0.0,5694664.981842041,0.0,5586.257394790649,0.0,0.0,2777598.568502426,0.015347719
2025-10-22,2777598.568502426,0.0,5694664.981842041,0.0,5586.257394790649,0.0,0.0,2777598.568502426,-0.0033208132
2025-10-23,2777598.568502426,0.0,5694664.981842041,0.0,5586.257394790649,0.0,0.0,2777598.568502426,0.002999425
2025-10-24,2777598.568502426,0.0,5694664.981842041,0.0,5586.257394790649,0.0,0.0,2777598.568502426,0.011796474
2025-10-27,2777598.568502426,0.0,5694664.981842041,0.0,5586.257394790649,0.0,0.0,2777598.568502426,0.011872768
2025-10-28,2777598.568502426,0.0,5694664.981842041,0.0,5586.257394790649,0.0,0.0,2777598.568502426,-0.005098641
2025-10-29,2777598.568502426,0.0,5694664.981842041,0.0,5586.257394790649,0.0,0.0,2777598.568502426,0.011906505
2025-10-30,2777598.568502426,0.0,5694664.981842041,0.0,5586.257394790649,0.0,0.0,2777598.568502426,-0.0079882145
2025-10-31,2777598.568502426,0.0,5694664.981842041,0.0,5586.257394790649,0.0,0.0,2777598.568502426,-0.014701664
2025-11-03,2744457.602248764,-0.01145738431863635,8328568.924713135,0.9482665971746929,6903.209366226196,0.0004741332985873463,2602079.928588867,142377.67365989694,0.002744317
2025-11-04,2673789.68080101,-0.025749321610889435,8328568.924713135,0.0,6903.209366226196,0.0,2531412.0071411133,142377.67365989694,-0.0074576735
2025-11-05,2612013.695083237,-0.023104280101517435,8328568.924713135,0.0,6903.209366226196,0.0,2469636.02142334,142377.67365989694,0.00185287
2025-11-06,2650857.602248764,0.014871249426695486,8328568.924713135,0.0,6903.209366226196,0.0,2508479.928588867,142377.67365989694,0.014294982
2025-11-07,2600313.695083237,-0.019067001985565032,8328568.924713135,0.0,6903.209366226196,0.0,2457936.02142334,142377.67365989694,-0.0031126142
2025-11-10,2603168.9345294954,0.002519685008749391,10793056.917572021,0.947765647475082,10599.941355514526,0.0014216484712126227,0.0,2603168.9345294954,0.003474474
2025-11-11,2603168.9345294954,0.0,10793056.917572021,0.0,10599.941355514526,0.0,0.0,2603168.9345294954,-0.009134114
2025-11-12,2603168.9345294954,0.0,10793056.917572021,0.0,10599.941355514526,0.0,0.0,2603168.9345294954,-0.0013451576
2025-11-13,2603168.9345294954,0.0,10793056.917572021,0.0,10599.941355514526,0.0,0.0,2603168.9345294954,0.012089372
2025-11-14,2603168.9345294954,0.0,10793056.917572021,0.0,10599.941355514526,0.0,0.0,2603168.9345294954,-0.015723705
2025-11-17,2603168.9345294954,0.0,10793056.917572021,0.0,10599.941355514526,0.0,0.0,2603168.9345294954,-0.00650084
2025-11-18,2603168.9345294954,0.0,10793056.917572021,0.0,10599.941355514526,0.0,0.0,2603168.9345294954,-0.0064940453
2025-11-19,2603168.9345294954,0.0,10793056.917572021,0.0,10599.941355514526,0.0,0.0,2603168.9345294954,0.0043997765
2025-11-20,2603168.9345294954,0.0,10793056.917572021,0.0,10599.941355514526,0.0,0.0,2603168.9345294954,-0.0050876737
2025-11-21,2603168.9345294954,0.0,10793056.917572021,0.0,10599.941355514526,0.0,0.0,2603168.9345294954,-0.0243904
2025-11-24,2603168.9345294954,0.0,10793056.917572021,0.0,10599.941355514526,0.0,0.0,2603168.9345294954,-0.0012483001
2025-11-25,2603168.9345294954,0.0,10793056.917572021,0.0,10599.941355514526,0.0,0.0,2603168.9345294954,0.009522557
2025-11-26,2603168.9345294954,0.0,10793056.917572021,0.0,10599.941355514526,0.0,0.0,2603168.9345294954,0.0060619116
2025-11-27,2603168.9345294954,0.0,10793056.917572021,0.0,10599.941355514526,0.0,0.0,2603168.9345294954,-0.00049197674
2025-11-28,2603168.9345294954,0.0,10793056.917572021,0.0,10599.941355514526,0.0,0.0,2603168.9345294954,0.0024933815
2025-12-01,2603168.9345294954,0.0,10793056.917572021,0.0,10599.941355514526,0.0,0.0,2603168.9345294954,0.011006832
2025-12-02,2603168.9345294954,0.0,10793056.917572021,0.0,10599.941355514526,0.0,0.0,2603168.9345294954,-0.004840255
2025-12-03,2603168.9345294954,0.0,10793056.917572021,0.0,10599.941355514526,0.0,0.0,2603168.9345294954,-0.005112827
2025-12-04,2603168.9345294954,0.0,10793056.917572021,0.0,10599.941355514526,0.0,0.0,2603168.9345294954,0.0034247637
2025-12-05,2603168.9345294954,0.0,10793056.917572021,0.0,10599.941355514526,0.0,0.0,2603168.9345294954,0.008351445
2025-12-08,2603168.9345294954,0.0,10793056.917572021,0.0,10599.941355514526,0.0,0.0,2603168.9345294954,0.008118153
2025-12-09,2603168.9345294954,0.0,10793056.917572021,0.0,10599.941355514526,0.0,0.0,2603168.9345294954,-0.0050914288
2025-12-10,2603168.9345294954,0.0,10793056.917572021,0.0,10599.941355514526,0.0,0.0,2603168.9345294954,-0.0013909936
2025-12-11,2603168.9345294954,0.0,10793056.917572021,0.0,10599.941355514526,0.0,0.0,2603168.9345294954,-0.008633316
2025-12-12,2603168.9345294954,0.0,10793056.917572021,0.0,10599.941355514526,0.0,0.0,2603168.9345294954,0.006319046
2025-12-15,2603168.9345294954,0.0,10793056.917572021,0.0,10599.941355514526,0.0,0.0,2603168.9345294954,-0.006306708
2025-12-16,2603168.9345294954,0.0,10793056.917572021,0.0,10599.941355514526,0.0,0.0,2603168.9345294954,-0.011973679
2025-12-17,2603168.9345294954,0.0,10793056.917572021,0.0,10599.941355514526,0.0,0.0,2603168.9345294954,0.018303394
2025-12-18,2603168.9345294954,0.0,10793056.917572021,0.0,10599.941355514526,0.0,0.0,2603168.9345294954,-0.005913377
2025-12-19,2603168.9345294954,0.0,10793056.917572021,0.0,10599.941355514526,0.0,0.0,2603168.9345294954,0.0033794641
2025-12-22,2603168.9345294954,0.0,10793056.917572021,0.0,10599.941355514526,0.0,0.0,2603168.9345294954,0.009510398
2025-12-23,2603168.9345294954,0.0,10793056.917572021,0.0,10599.941355514526,0.0,0.0,2603168.9345294954,0.0019755363
2025-12-24,2603168.9345294954,0.0,10793056.917572021,0.0,10599.941355514526,0.0,0.0,2603168.9345294954,0.0028836727
2025-12-25,2603168.9345294954,0.0,10793056.917572021,0.0,10599.941355514526,0.0,0.0,2603168.9345294954,0.0018292665
2025-12-26,2603168.9345294954,0.0,10793056.917572021,0.0,10599.941355514526,0.0,0.0,2603168.9345294954,0.0031673908
2025-12-29,2603168.9345294954,0.0,10793056.917572021,0.0,10599.941355514526,0.0,0.0,2603168.9345294954,-0.0038366318
2025-12-30,2603168.9345294954,0.0,10793056.917572021,0.0,10599.941355514526,0.0,0.0,2603168.9345294954,0.0025670528
2025-12-31,2603168.9345294954,0.0,10793056.917572021,0.0,10599.941355514526,0.0,0.0,2603168.9345294954,-0.0045884848
2026-01-05,2739390.741914749,0.05280333733319461,13261456.917572021,0.9482288941213668,11834.141355514526,0.00047411444706068365,2605856.007385254,133534.73452949524,0.018964887
