datetime,cash,now_account_value,SZ002230.amount,SZ002230.price,SZ002230.weight,SZ002230.count_day
2025-10-09,150375.8229045868,3162195.792081833,50500.0,59.63999938964844,0.9524457583299778,1.0
2025-10-10,150375.8229045868,2976860.8845500946,50500.0,55.970001220703125,0.9494851023489081,2.0
2025-10-13,42782.051988601685,2952331.9558582306,52500.0,55.41999816894531,0.9855090644858853,3.0
2025-10-14,42782.051988601685,2820032.1320972443,52500.0,52.900001525878906,0.9848292324397081,4.0
2025-10-15,42782.051988601685,2902982.027956009,52500.0,54.47999954223633,0.9852627224086797,5.0
2025-10-16,42782.051988601685,2862557.003923416,52500.0,53.709999084472656,0.9850546026053054,6.0
2025-10-17,42782.051988601685,2738132.059999466,52500.0,51.34000015258789,0.9843754606968774,7.0
2025-10-20,2777598.568502426,2777598.568502426,,,,
2025-10-21,2777598.568502426,2777598.568502426,,,,
2025-10-22,2777598.568502426,2777598.568502426,,,,
2025-10-23,2777598.568502426,2777598.568502426,,,,
2025-10-24,2777598.568502426,2777598.568502426,,,,
2025-10-27,2777598.568502426,2777598.568502426,,,,
2025-10-28,2777598.568502426,2777598.568502426,,,,
2025-10-29,2777598.568502426,2777598.568502426,,,,
2025-10-30,2777598.568502426,2777598.568502426,,,,
2025-10-31,2777598.568502426,2777598.568502426,,,,
2025-11-03,142377.67365989694,2744457.602248764,46800.0,55.599998474121094,0.9481217441496509,1.0
2025-11-04,142377.67365989694,2673789.68080101,46800.0,54.09000015258789,0.9467506084408092,2.0
2025-11-05,142377.67365989694,2612013.695083237,46800.0,52.77000045776367,0.9454912223745596,3.0
2025-11-06,142377.67365989694,2650857.602248764,46800.0,53.599998474121094,0.9462899578087047,4.0
2025-11-07,142377.67365989694,2600313.695083237,46800.0,52.52000045776367,0.9452459624663326,5.0
2025-11-10,2603168.9345294954,2603168.9345294954,,,,
2025-11-11,2603168.9345294954,2603168.9345294954,,,,
2025-11-12,2603168.9345294954,2603168.9345294954,,,,
2025-11-13,2603168.9345294954,2603168.9345294954,,,,
2025-11-14,2603168.9345294954,2603168.9345294954,,,,
2025-11-17,2603168.9345294954,2603168.9345294954,,,,
2025-11-18,2603168.9345294954,2603168.9345294954,,,,
2025-11-19,2603168.9345294954,2603168.9345294954,,,,
2025-11-20,2603168.9345294954,2603168.9345294954,,,,
2025-11-21,2603168.9345294954,2603168.9345294954,,,,
2025-11-24,2603168.9345294954,2603168.9345294954,,,,
2025-11-25,2603168.9345294954,2603168.9345294954,,,,
2025-11-26,2603168.9345294954,2603168.9345294954,,,,
2025-11-27,2603168.9345294954,2603168.9345294954,,,,
2025-11-28,2603168.9345294954,2603168.9345294954,,,,
2025-12-01,2603168.9345294954,2603168.9345294954,,,,
2025-12-02,2603168.9345294954,2603168.9345294954,,,,
2025-12-03,2603168.9345294954,2603168.9345294954,,,,
2025-12-04,2603168.9345294954,2603168.9345294954,,,,
2025-12-05,2603168.9345294954,2603168.9345294954,,,,
2025-12-08,2603168.9345294954,2603168.9345294954,,,,
2025-12-09,2603168.9345294954,2603168.9345294954,,,,
2025-12-10,2603168.9345294954,2603168.9345294954,,,,
2025-12-11,2603168.9345294954,2603168.9345294954,,,,
2025-12-12,2603168.9345294954,2603168.9345294954,,,,
2025-12-15,2603168.9345294954,2603168.9345294954,,,,
2025-12-16,2603168.9345294954,2603168.9345294954,,,,
2025-12-17,2603168.9345294954,2603168.9345294954,,,,
2025-12-18,2603168.9345294954,2603168.9345294954,,,,
2025-12-19,2603168.9345294954,2603168.9345294954,,,,
2025-12-22,2603168.9345294954,2603168.9345294954,,,,
2025-12-23,2603168.9345294954,2603168.9345294954,,,,
2025-12-24,2603168.9345294954,2603168.9345294954,,,,
2025-12-25,2603168.9345294954,2603168.9345294954,,,,
2025-12-26,2603168.9345294954,2603168.9345294954,,,,
2025-12-29,2603168.9345294954,2603168.9345294954,,,,
2025-12-30,2603168.9345294954,2603168.9345294954,,,,
2025-12-31,2603168.9345294954,2603168.9345294954,,,,
2026-01-05,133534.73452949524,2739390.741914749,48400.0,53.84000015258789,0.9512538563826208,1.0
