component,records,structured_records,inferred_records,time_evidence_records,sources,vendors
fundamentals,5,0,5,0,BaoStock; Sina,BaoStock; 新浪|Sina
market,72,0,72,0,AkShare; BaoStock; CNInfo; EastMoney; Sina,AkShare; BaoStock; 东方财富; 巨潮资讯|CNInfo; 新浪|Sina
news,39,14,25,0,BaoStock; CNInfo; EastMoney,BaoStock; 东方财富; 巨潮资讯|CNInfo
social,42,0,42,0,EastMoney,东方财富
