datetime,cash,now_account_value,SZ000651.amount,SZ000651.price,SZ000651.weight,SZ000651.count_day
2025-10-09,2461002.6628383636,3008544.4929012298,13900.0,39.39149856567383,0.18199559001198456,1.0
2025-10-10,2461002.6628383636,3008951.295269394,13900.0,39.4207649230957,0.1821061820749651,2.0
2025-10-13,2848677.227791214,3002570.3910907744,3900.0,39.45978546142578,0.05125380699023486,3.0
2025-10-14,2848677.227791214,3003064.9726947783,3900.0,39.58660125732422,0.05141005815968935,4.0
2025-10-15,2848677.227791214,3003978.0681690215,3900.0,39.82072830200195,0.051698393548014906,5.0
2025-10-16,2848677.227791214,3003787.831886673,3900.0,39.771949768066406,0.051638335587115794,6.0
2025-10-17,2848677.227791214,3001695.3369220733,3900.0,39.23541259765625,0.050977228517722774,7.0
2025-10-20,2462638.8384441375,3007514.5502666472,13700.0,39.771949768066406,0.1811714300016274,8.0
2025-10-21,2462638.8384441375,3006445.387516403,13700.0,39.69390869140625,0.18088023528726035,9.0
2025-10-22,2462638.8384441375,3004841.643391037,13700.0,39.576847076416016,0.1804430546745919,10.0
2025-10-23,2462638.8384441375,3004307.062015915,13700.0,39.53782653808594,0.18029722408211946,11.0
2025-10-24,2462638.8384441375,3003906.112919235,13700.0,39.50856018066406,0.18018781350961965,12.0
2025-10-27,3003494.559680557,3003494.559680557,,,,
2025-10-28,3003494.559680557,3003494.559680557,,,,
2025-10-29,3003494.559680557,3003494.559680557,,,,
2025-10-30,3003494.559680557,3003494.559680557,,,,
2025-10-31,3003494.559680557,3003494.559680557,,,,
2025-11-03,2705514.5177135463,3002369.162488937,7700.0,38.55255126953125,0.09887346582300385,1.0
2025-11-04,2705514.5177135463,3003796.3460216518,7700.0,38.73789978027344,0.09930161500567836,2.0
2025-11-05,2705514.5177135463,3003871.453214645,7700.0,38.74765396118164,0.09932413558569785,3.0
2025-11-06,2705514.5177135463,3005899.553037643,7700.0,39.011043548583984,0.09993182740272856,4.0
2025-11-07,2705514.5177135463,3006124.9039897914,7700.0,39.04030990600586,0.09999930005478773,5.0
2025-11-10,2853941.276847076,3009394.297324371,3900.0,39.85974884033203,0.05165591647977368,6.0
2025-11-11,2853941.276847076,3009622.5600349423,3900.0,39.918277740478516,0.0517278429711328,7.0
