datetime,side,value,cash,turnover,cost,account
2025-10-09,BUY,547541.8300628662,2461002.6628383636,0.17957599105834962,8.978799552917482e-05,3008544.4929012298
2025-10-13,SELL,153893.16329956055,2848677.227791214,0.12903397638533629,0.00019355096457800443,3002570.3910907744
2025-10-20,BUY,544875.7118225098,2462638.8384441375,0.12854251458091479,6.427125729045735e-05,3007514.5502666472
2025-10-27,SELL,0.0,3003494.559680557,0.18032128941785638,0.0002704819341267846,3003494.559680557
2025-11-03,BUY,296854.6447753906,2705514.5177135463,0.09916153350232307,4.95807667511615e-05,3002369.162488937
2025-11-10,SELL,155453.02047729492,2853941.276847076,0.04944895454504896,7.41734318175735e-05,3009394.297324371
2025-11-17,BUY,235236.90032958984,2770685.864173317,0.027659739312879857,1.3829869656439988e-05,3005922.7645029067
2025-11-24,SELL,152599.6250152588,2853038.467293358,0.027434731265356553,4.1152096898034886e-05,3005638.0923086167
2025-12-01,SELL,0.0,3006586.8232622147,0.05114733458723135,7.6721001880847e-05,3006586.8232622147
2025-12-08,BUY,1043693.2636260986,1957237.9466135025,0.3488422340913826,0.00017442111704569122,3000931.2102396013
2025-12-15,SELL,303008.2229614258,2702407.9030916216,0.24853719698530852,0.0003728057954779628,3005416.1260530474
2025-12-22,BUY,1343930.9677124023,1654415.6717575076,0.3482949614824757,0.00017414748074123774,2998346.63946991
2025-12-29,SELL,1199639.8864746094,1793374.6047857287,0.04647595754189722,6.971393631284582e-05,2993014.491260338
2026-01-05,SELL,755481.7161560059,2233461.237061119,0.1479871443597442,0.00022198071653961626,2988942.953217125
