datetime,cash,now_account_value,SZ300308.amount,SZ300308.price,SZ300308.weight,SZ300308.count_day
2026-04-01,1000000.0,1000000.0,,,,
2026-04-02,1000000.0,1000000.0,,,,
2026-04-03,1000000.0,1000000.0,,,,
2026-04-07,71339.30746459961,999535.9017028809,1500.0,618.7977294921875,0.9286275687115781,1.0
2026-04-08,71339.30746459961,1102329.2061462402,1500.0,687.3265991210938,0.9352831195373994,2.0
2026-04-09,71339.30746459961,1109640.6075134277,1500.0,692.2008666992188,0.9357095378615762,3.0
2026-04-10,71339.30746459961,1172011.7317810059,1500.0,733.7816162109375,0.9391308930362059,4.0
2026-04-13,71339.30746459961,1177030.835784912,1500.0,737.127685546875,0.9393904515534409,5.0
2026-04-14,71339.30746459961,1229468.7630310059,1500.0,772.0863037109375,0.9419755022577987,6.0
2026-04-15,71339.30746459961,1239926.3741149902,1500.0,779.0580444335938,0.9424648842432126,7.0
2026-04-16,71339.30746459961,1284318.8301696777,1500.0,808.6530151367188,0.9444535844302971,8.0
2026-04-17,71339.30746459961,1346330.5184020996,1500.0,849.994140625,0.9470120401420677,9.0
2026-04-20,71339.30746459961,1344832.2579040527,1500.0,848.9953002929688,0.9469530069305571,10.0
2026-04-21,71339.30746459961,1367095.8687438965,1500.0,863.8377075195312,0.9478168948530676,11.0
2026-04-22,71339.30746459961,1399697.339691162,1500.0,885.572021484375,0.9490323333183298,12.0
2026-04-23,71339.30746459961,1415248.9449157715,1500.0,895.9397583007812,0.9495923966445031,13.0
2026-04-24,71339.30746459961,1400251.6914978027,1500.0,885.9415893554688,0.9490525111322734,14.0
2026-04-27,71339.30746459961,1355364.7591247559,1500.0,856.0169677734375,0.9473652336138149,15.0
2026-04-28,71339.30746459961,1307376.5694274902,1500.0,824.0248413085938,0.9454332369625994,16.0
2026-04-29,71339.30746459961,1338839.3074645996,1500.0,845.0,0.9467155564772766,17.0
2026-04-30,71339.30746459961,1357589.3074645996,1500.0,857.5,0.9474514810389667,18.0
2026-05-06,71339.30746459961,1355339.3074645996,1500.0,856.0,0.9473642451955058,19.0
2026-05-07,71339.30746459961,1387544.263519287,1500.0,877.469970703125,0.9485859231015386,20.0
2026-05-08,71339.30746459961,1400339.3074645996,1500.0,886.0,0.9490556987979122,21.0
2026-05-11,71339.30746459961,1481534.3147888184,1500.0,940.1300048828125,0.9518476846924949,22.0
2026-05-12,71339.30746459961,1598324.292816162,1500.0,1017.989990234375,0.9553661870840344,23.0
2026-05-13,71339.30746459961,1645139.234222412,1500.0,1049.199951171875,0.9566363101793517,24.0
2026-05-14,71339.30746459961,1688339.3074645996,1500.0,1078.0,0.9577458706616677,25.0
2026-05-15,71339.30746459961,1646144.3001403809,1500.0,1049.8699951171875,0.9566627862098627,26.0
2026-05-18,71339.30746459961,1638839.3074645996,1500.0,1045.0,0.9564696141106314,27.0
2026-05-19,71339.30746459961,1616339.3074645996,1500.0,1030.0,0.9558636561425318,28.0
2026-05-20,71339.30746459961,1626839.3074645996,1500.0,1037.0,0.9561485223910771,29.0
